happy1,ID,tutorial,distance,direction,born,sports,awake,drink,breakfast,sleep,siblings,siblings_num,pets,beer,coffee,pineapple,pinky,OS,hand,energy,shoes,phone,apartment,room_mates,apps,countries,central_building,food_money,season,coffee_how,tall,bother,happy2
8,AMRED,NC_UWI,"2,4",NW,214,"1,5",awake,coffee,yes,7,yes,2,5,3,3,No,"3,5",Apple,18,7,4,"15,4",96,4,10,5,yes,80,Summer,milk,170,10,8
7,ETZES9,12_GESS,"0,4",SE,65,"0,0",tired,water,yes,9,yes,1,1,1,1,dontmind,"6,0",Microsoft,20,7,6,"15,5",180,4,100,9,No,190,Summer,Other,175,7,8
8,Berlin43,12_GESS,55,N,166,"1,0",tired,tea,yes,7,no,0,1,1,2,No,"6,5",Microsoft,14,5,10,15,36,0,30,8,yes,200,Summer,Other,168,4,4
7,curri23,NC_UWI,"2,5",SW,"7,354","4,0",awake,other,yes,7,yes,4,0,3,3,No,"4,0",Microsoft,8,6,6,"103,7",125,3,27,7,yes,125,Spring,milk,157,7,8
8,Rainw5,NC_UWI,"0,5",SW,340,"2,0",awake,coffee,yes,8,yes,1,2,2,2,dontmind,"6,5",Microsoft,18,5,8,15,33,5,47,12,yes,140,Spring,milk,165,4,8
7,Witte12e,12_GESS,"2,4",W,572,"2,0",awake,other,yes,8,yes,1,0,3,3,No,"7,0",Microsoft,19,9,8,16,115,5,128,15,yes,220,Summer,milk,"169,5",6,8
7,POETH59,12_GESS,1,S,420,"1,0",tired,tea,yes,6,yes,2,1,1,2,dontmind,"6,4",Microsoft,20,5,15,"15,5",90,4,40,15,yes,150,Spring,black,176,8,6
6,Ostwi23,NC_UWI,"0,5",SW,250,"4,0",awake,tea,yes,8,yes,2,6,6,8,Yes,"6,0",Microsoft,23,8,10,16,90,3,38,12,yes,120,Spring,milk,172,8,8
7,AlteD39,MG_UWI,"2,3",NW,361,"1,0",tired,coffee,no,6,yes,1,4,2,2,Yes,"6,0",Apple,19,5,5,"15,5",3220,2,20,10,yes,250,Summer,milk,167,5,6
8,Kiele44,NC_UWI,1,N,150,"2,0",awake,coffee,yes,7,yes,1,10,3,5,dontmind,"6,0",Apple,20,6,8,"14,5",120,3,64,14,yes,30,Spring,milk,166,3,8
7,König18,NC_UWI,"2,2",NNE,677,"3,0",awake,tea,yes,9,yes,1,4,1,1,dontmind,"6,0",Microsoft,10,8,6,"15,4",60,3,42,6,yes,130,Fall,Other,171,7,8
7,Lortz2A,NC_UWI,"2,2",N,160,"1,0",awake,coffee,yes,8,no,0,0,1,2,Yes,"6,0",Microsoft,17,7,19,15,13,4,46,9,No,80,Summer,milk,162,7,7
9,Lilie6,NC_UWI,1,S,796,"5,0",awake,coffee,no,7,no,0,2,3,5,No,"3,0",Apple,15,7,6,12,160,6,48,20,yes,350,Spring,milk,169,1,8
6,SILOS302,NC_UWI,60,N,9464,"3,0",tired,other,yes,8,yes,3,5,5,5,dontmind,"5,0",Apple,13,5,8,15,52,1,60,20,yes,250,Summer,milk,163,5,6
7,Steil111,MG_UWI,"0,8",W,65,"2,0",tired,coffee,yes,8,yes,1,1,3,3,No,"7,0",Apple,16,5,20,14,120,5,54,20,yes,160,Summer,milk,186,6,7
7,Tiele1,MG_UWI,3,S,90,"2,0",tired,coffee,no,7,yes,1,1,2,2,Yes,"7,0",Microsoft,17,8,15,12,30,2,20,8,yes,250,Spring,milk,168,3,5
7,Meise4,MG_UWI,"0,2",E,360,"0,5",awake,tea,yes,8,no,0,1,3,2,dontmind,"5,0",Microsoft,20,7,6,15,95,2,21,12,yes,230,Fall,milk,167,7,8
7,Aug.-85,12_GESS,3,S,240,"2,0",awake,water,no,7,yes,2,2,2,2,Yes,"6,0",Microsoft,21,7,3,18,90,4,25,10,yes,140,Summer,milk,172,4,7
6,Masch4B,MG_UWI,"0,4",NW,40,"1,5",tired,tea,yes,7,yes,1,6,4,2,Yes,"5,0",Microsoft,18,5,6,17,60,1,59,14,yes,200,Winter,milk,178,9,7
8,Nordm28,NC_UWI,"1,4",N,70,"5,0",energized,juice,yes,9,no,0,1,4,4,No,"6,0",Microsoft,"20,5",9,10,17,90,3,43,23,yes,250,Summer,milk,167,6,8
7,Flint50,SP_UWI,"3,5",SW,150,"6,0",awake,coffee,yes,7,yes,2,7,2,2,dontmind,"6,0",Microsoft,20,8,9,"16,2",25,NA,85,6,yes,250,Summer,milk,175,7,7
8,wiede14a,MG_UWI,"0,8",W,71,"3,0",awake,water,yes,8,yes,2,2,3,3,dontmind,"5,5",Apple,13,7,6,14,120,5,78,18,yes,150,Fall,milk,177,7,8
9,Goeth4,NC_UWI,3,N,335,"1,0",energized,tea,no,9,yes,2,3,4,5,dontmind,"5,0",Apple,19,9,8,15,70,2,67,11,yes,200,Fall,milk,173,2,9
8,Goebe7,MG_UWI,"3,1",NE,60,"5,0",awake,tea,yes,7,yes,1,1,4,4,No,"6,7",Microsoft,"20,5",8,5,"13,5",60,2,66,9,No,350,Spring,black,178,4,9
9,Neide10,MG_UWI,"0,2",N,280,"1,0",awake,milk,yes,7,yes,4,30,3,4,Yes,"5,5",Apple,18,8,30,15,54,1,45,20,yes,200,Fall,milk,167,7,8
8,Dorfs44,NC_UWI,"2,3",NW,290,"2,0",awake,tea,yes,8,yes,2,8,3,2,No,"6,0",Microsoft,20,5,13,15,350,9,90,13,No,150,Summer,milk,178,7,6
8,Kehrw7,MG_UWI,32,S,32,"6,0",energized,water,no,7,yes,1,1,2,2,dontmind,"6,0",Microsoft,21,6,11,15,25,0,119,8,yes,350,Winter,milk,172,5,8
6,Marti11,MG_UWI,37,S,270,"1,0",awake,coffee,yes,8,no,0,2,2,3,Yes,"4,0",Microsoft,NA,7,7,"13,2",60,1,38,10,yes,140,Spring,milk,163,8,6
