"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","26,094.50","26,288.00","26,321.37","26,067.92","527.36M","0.00%"
"12/29/2022","26,093.67","26,074.90","26,126.70","25,953.92","631.10M","-0.94%"
"12/28/2022","26,340.50","26,309.34","26,354.27","26,199.67","615.23M","-0.41%"
"12/27/2022","26,447.87","26,570.78","26,620.49","26,447.87","501.79M","0.16%"
"12/26/2022","26,405.87","26,299.54","26,438.65","26,294.85","473.13M","0.65%"
"12/23/2022","26,235.25","26,207.77","26,291.98","26,106.38","756.57M","-1.03%"
"12/22/2022","26,507.87","26,552.43","26,585.28","26,399.31","733.66M","0.46%"
"12/21/2022","26,387.72","26,547.17","26,616.28","26,269.80","1.19B","-0.68%"
"12/20/2022","26,568.03","27,257.35","27,339.49","26,416.91","1.19B","-2.46%"
"12/19/2022","27,237.64","27,279.92","27,349.58","27,165.78","581.86M","-1.05%"
"12/16/2022","27,527.12","27,706.70","27,713.04","27,488.83","837.50M","-1.87%"
"12/15/2022","28,051.70","27,991.14","28,163.17","27,987.54","510.62M","-0.37%"
"12/14/2022","28,156.21","28,005.03","28,195.69","27,993.78","548.32M","0.72%"
"12/13/2022","27,954.85","28,067.37","28,116.56","27,907.49","519.16M","0.40%"
"12/12/2022","27,842.33","27,741.10","27,865.72","27,734.66","495.85M","-0.21%"
"12/09/2022","27,901.01","27,633.96","27,952.80","27,633.96","701.68M","1.18%"
"12/08/2022","27,574.43","27,622.30","27,643.64","27,415.66","649.27M","-0.40%"
"12/07/2022","27,686.40","27,670.29","27,786.25","27,646.78","630.24M","-0.72%"
"12/06/2022","27,885.87","27,704.06","27,934.07","27,698.31","604.46M","0.24%"
"12/05/2022","27,820.40","27,752.99","27,854.11","27,700.86","638.91M","0.15%"
"12/02/2022","27,777.90","27,983.18","27,983.18","27,662.12","794.22M","-1.59%"
"12/01/2022","28,226.08","28,273.13","28,423.46","28,226.08","714.11M","0.92%"
"11/30/2022","27,968.99","27,886.67","27,972.89","27,802.71","1.07B","-0.21%"
"11/29/2022","28,027.84","27,991.50","28,055.91","27,899.98","648.17M","-0.48%"
"11/28/2022","28,162.83","28,220.56","28,238.50","28,046.32","645.82M","-0.42%"
"11/25/2022","28,283.03","28,398.77","28,399.88","28,263.60","567.69M","-0.35%"
"11/24/2022","28,383.09","28,373.72","28,502.29","28,363.66","838.77M","0.95%"
"11/22/2022","28,115.74","28,059.51","28,203.35","28,038.16","759.46M","0.61%"
"11/21/2022","27,944.79","27,982.00","28,007.06","27,846.30","","0.16%"
"11/18/2022","27,899.77","28,009.82","28,045.44","27,877.78","647.54M","-0.11%"
