"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","33,147.28","33,121.61","33,149.56","32,848.07","279.97M","-0.22%"
"12/29/2022","33,221.06","33,021.43","33,292.97","33,021.43","236.93M","1.05%"
"12/28/2022","32,875.01","33,264.76","33,377.35","32,872.15","247.02M","-1.10%"
"12/27/2022","33,241.69","33,271.90","33,387.12","33,069.58","235.96M","0.11%"
"12/23/2022","33,204.26","32,961.06","33,225.83","32,815.26","218.35M","0.53%"
"12/22/2022","33,028.22","33,233.35","33,233.35","32,573.43","326.11M","-1.04%"
"12/21/2022","33,376.48","33,028.09","33,437.84","33,028.09","311.43M","1.60%"
"12/20/2022","32,850.01","32,735.24","32,991.30","32,650.61","286.90M","0.29%"
"12/19/2022","32,756.61","32,897.72","33,038.45","32,582.22","308.35M","-0.50%"
"12/16/2022","32,920.00","33,166.46","33,166.46","32,654.64","623.17M","-0.85%"
"12/15/2022","33,202.81","33,773.00","33,773.00","33,016.45","368.79M","-2.25%"
"12/14/2022","33,965.69","34,086.07","34,395.38","33,710.64","319.15M","-0.43%"
"12/13/2022","34,110.69","34,268.44","34,711.63","33,896.80","404.26M","0.31%"
"12/12/2022","34,004.81","33,545.73","34,004.81","33,545.50","301.73M","1.58%"
"12/09/2022","33,475.60","33,746.71","33,844.56","33,465.57","276.10M","-0.90%"
"12/08/2022","33,780.16","33,695.97","33,898.46","33,643.05","264.54M","0.55%"
"12/07/2022","33,596.87","33,556.40","33,773.78","33,505.36","277.44M","0.00%"
"12/06/2022","33,596.51","33,936.87","34,005.32","33,418.59","297.15M","-1.03%"
"12/05/2022","33,946.51","34,190.57","34,270.09","33,847.05","303.91M","-1.40%"
"12/02/2022","34,428.95","34,265.45","34,481.12","34,042.46","279.59M","0.09%"
"12/01/2022","34,396.53","34,533.59","34,581.98","34,130.18","331.32M","-0.55%"
"11/30/2022","34,587.46","33,795.43","34,587.46","33,583.93","466.31M","2.18%"
"11/29/2022","33,850.48","33,847.80","33,933.49","33,662.45","271.10M","0.00%"
"11/28/2022","33,849.66","34,185.42","34,303.88","33,799.41","286.59M","-1.45%"
"11/25/2022","34,346.83","34,213.04","34,385.89","34,203.36","123.65M","0.44%"
"11/23/2022","34,195.11","34,091.57","34,262.07","34,004.64","225.79M","0.28%"
"11/22/2022","34,098.03","33,810.05","34,112.84","33,810.05","268.49M","1.18%"
"11/21/2022","33,700.87","33,770.81","33,862.64","33,559.60","339.60M","-0.14%"
"11/18/2022","33,747.14","33,606.59","33,827.83","33,541.07","296.37M","0.60%"
"11/17/2022","33,547.37","33,277.00","33,615.82","33,245.78","301.53M","-0.03%"
"11/16/2022","33,556.60","33,554.93","33,682.39","33,521.23","288.59M","-0.11%"
"11/15/2022","33,594.17","33,804.97","33,984.90","33,321.26","380.64M","0.17%"
"11/14/2022","33,537.16","33,645.97","33,963.62","33,534.27","339.05M","-0.63%"
"11/11/2022","33,749.18","33,797.75","33,815.82","33,394.49","418.43M","0.11%"
"11/10/2022","33,712.21","33,263.91","33,727.73","33,167.82","465.42M","3.68%"
"11/09/2022","32,514.27","33,004.47","33,062.52","32,479.06","344.56M","-1.95%"
"11/08/2022","33,162.28","32,934.56","33,354.34","32,831.46","324.65M","1.01%"
"11/07/2022","32,829.18","32,484.25","32,895.34","32,426.08","320.13M","1.31%"
"11/04/2022","32,404.80","32,265.01","32,610.60","31,938.92","409.62M","1.27%"
"11/03/2022","31,999.34","31,985.05","32,185.71","31,728.85","345.46M","-0.46%"
"11/02/2022","32,146.77","32,576.28","33,070.28","32,142.98","384.07M","-1.54%"
"11/01/2022","32,650.83","32,927.61","32,975.35","32,486.84","312.67M","-0.26%"
"10/31/2022","32,734.40","32,672.03","32,883.86","32,586.93","369.53M","-0.39%"
"10/28/2022","32,861.34","32,204.31","32,888.75","32,158.38","485.69M","2.57%"
"10/27/2022","32,037.83","32,062.14","32,387.35","31,994.43","356.82M","0.62%"
"10/26/2022","31,840.10","31,738.44","32,171.98","31,738.44","420.19M","0.01%"
"10/25/2022","31,837.20","31,463.65","31,875.34","31,431.09","327.06M","1.07%"
"10/24/2022","31,500.61","31,251.86","31,602.39","31,165.23","331.04M","1.34%"
"10/21/2022","31,083.02","30,291.18","31,119.27","30,207.85","402.89M","2.47%"
"10/20/2022","30,332.80","30,411.92","30,822.14","30,265.22","323.66M","-0.30%"
"10/19/2022","30,425.26","30,439.04","30,660.88","30,229.05","299.06M","-0.33%"
"10/18/2022","30,527.49","30,794.47","30,836.88","30,301.86","378.98M","1.12%"
"10/17/2022","30,188.79","30,059.58","30,310.55","29,997.98","359.31M","1.84%"
"10/14/2022","29,643.67","30,178.43","30,415.38","29,615.38","366.38M","-1.31%"
"10/13/2022","30,038.06","28,755.83","30,168.35","28,666.77","459.53M","2.83%"
"10/12/2022","29,210.52","29,233.06","29,455.12","29,138.09","297.89M","-0.10%"
"10/11/2022","29,238.66","29,085.20","29,607.97","29,074.49","343.83M","0.12%"
"10/10/2022","29,202.94","29,420.35","29,485.14","29,010.98","308.84M","-0.32%"
"10/07/2022","29,297.25","29,685.27","29,685.27","29,146.31","357.99M","-2.10%"
"10/06/2022","29,926.47","30,206.13","30,329.42","29,860.77","297.92M","-1.15%"
"10/05/2022","30,274.80","30,078.36","30,452.57","29,887.06","283.85M","-0.14%"
"10/04/2022","30,316.98","29,826.67","30,323.43","29,826.67","362.09M","2.80%"
"10/03/2022","29,490.03","28,855.25","29,638.98","28,855.25","383.36M","2.64%"
"09/30/2022","28,730.12","29,123.03","29,354.38","28,723.55","442.18M","-1.70%"
"09/29/2022","29,227.59","29,486.85","29,503.85","28,997.52","376.91M","-1.53%"
"09/28/2022","29,681.76","29,198.92","29,811.20","29,114.97","423.71M","1.87%"
