ID,diam,rings
7_23_11_b,0.4,2
8_23_11_b,0.3,1
9_23_11_b,0.5,5
9_23_11_b,0.8,5
1_30_11_a,1.1,3
1_30_11_a,1.1,4
1_30_11_a,1.3,3
1_30_11_a,1.3,4
2_30_11_a,1,2
2_30_11_a,1,3
3_30_11_a,0.9,2
3_30_11_a,0.9,3
4_30_11_a,1.2,3
5_30_11_a,0.8,2
7_30_11_a,0.4,3
7_30_11_a,0.6,3
8_30_11_a,0.6,2
9_30_11_a,0.7,5
9_30_11_a,0.8,5
9_30_11_a,0.9,5
10_30_11_a,0.5,2
10_30_11_a,0.5,3
1_30_11_b,0.6,4
2_30_11_b,1,4
3_30_11_b,0.6,4
3_30_11_b,1,4
3_30_11_b,1.1,4
4_30_11_b,0.3,2
4_30_11_b,0.3,3
4_30_11_b,0.3,4
4_30_11_b,0.3,6
4_30_11_b,0.5,2
4_30_11_b,0.5,3
4_30_11_b,0.5,4
4_30_11_b,0.5,6
4_30_11_b,0.6,2
4_30_11_b,0.6,3
4_30_11_b,0.6,4
4_30_11_b,0.6,6
5_30_11_b,0.5,3
5_30_11_b,0.5,4
5_30_11_b,0.6,3
5_30_11_b,0.6,4
5_30_11_b,0.8,3
5_30_11_b,0.8,4
5_30_11_b,0.9,3
5_30_11_b,0.9,4
6_30_11_b,1.3,5
7_30_11_b,0.8,10
7_30_11_b,0.8,12
7_30_11_b,0.8,14
7_30_11_b,1,10
7_30_11_b,1,12
7_30_11_b,1,14
7_30_11_b,1.1,10
7_30_11_b,1.1,12
7_30_11_b,1.1,14
7_30_11_b,1.2,10
7_30_11_b,1.2,12
7_30_11_b,1.2,14
8_30_11_b,0.9,5
8_30_11_b,0.9,6
8_30_11_b,1.3,5
8_30_11_b,1.3,6
9_30_11_b,0.5,3
9_30_11_b,0.5,5
9_30_11_b,0.7,3
9_30_11_b,0.7,5
9_30_11_b,1,3
9_30_11_b,1,5
10_30_11_b,0.9,4
10_30_11_b,0.9,5
10_30_11_b,0.9,6
